Drug,Severity,Reason
darifenacin,Moderate,
darolutamide,Moderate,
dasatinib,Moderate,
daunorubicin,Moderate,
daunorubicin liposomal,Moderate,
daxibotulinumtoxinA,Moderate,
degarelix,Moderate,
demecarium bromide ophthalmic,Moderate,
deserpidine,Moderate,
desipramine,Moderate,
desmopressin,Moderate,
deutetrabenazine,Moderate,
dexbrompheniramine,Moderate,
dexchlorpheniramine,Moderate,
dexmedetomidine,Moderate,
dexmethylphenidate,Moderate,
dextroamphetamine,Moderate,
dextrothyroxine sodium,Moderate,
dezocine,Moderate,
diazepam,Moderate,
diazoxide,Moderate,
diazoxide choline,Moderate,
dicumarol,Moderate,
dicyclomine,Moderate,
diethylpropion,Moderate,
difelikefalin,Moderate,
diltiazem,Moderate,
dimenhydrinate,Moderate,
diphenhydramine,Moderate,
divalproex sodium,Moderate,
donepezil,Moderate,
doxazosin,Moderate,
doxepin,Moderate,
doxepin topical,Moderate,
doxorubicin,Moderate,
doxorubicin liposomal,Moderate,
doxylamine,Moderate,
dronabinol,Moderate,
duvelisib,Moderate,
echinacea,Moderate,
echothiophate iodide ophthalmic,Moderate,
eliglustat,Moderate,
eluxadoline,Moderate,
enalapril,Moderate,
enalaprilat,Moderate,
encorafenib,Moderate,
entacapone,Moderate,
entrectinib,Moderate,
enzalutamide,Moderate,
epirubicin,Moderate,
eplerenone,Moderate,
eprosartan,Moderate,
erdafitinib,Moderate,
eribulin,Moderate,
erythromycin,Moderate,
eslicarbazepine,Moderate,
esmolol,Moderate,
estazolam,Moderate,
eszopiclone,Moderate,
ethacrynic acid,Moderate,
ethanol,Moderate,
ethaverine,Moderate,
ethchlorvynol,Moderate,
ethosuximide,Moderate,
ethotoin,Moderate,
etripamil,Moderate,
ezogabine,Moderate,
famotidine,Moderate,
fedratinib,Moderate,
felbamate,Moderate,
felodipine,Moderate,
fenoldopam,Moderate,
fesoterodine,Moderate,
flavoxate,Moderate,
flecainide,Moderate,
flibanserin,Moderate,
fluconazole,Moderate,
fluphenazine,Moderate,
flurazepam,Moderate,
flutamide,Moderate,
formoterol,Moderate,
fosamprenavir,Moderate,
foscarnet,Moderate,
fosinopril,Moderate,
fosphenytoin,Moderate,
fospropofol,Moderate,
fostamatinib,Moderate,
fostemsavir,Moderate,
furosemide,Moderate,
gabapentin,Moderate,
gabapentin enacarbil,Moderate,
galantamine,Moderate,
ganaxolone,Moderate,
gemifloxacin,Moderate,
gilteritinib,Moderate,
ginkgo,Moderate,
givinostat,Moderate,
givosiran,Moderate,
glasdegib,Moderate,
glimepiride,Moderate,
glipizide,Moderate,
glyburide,Moderate,
glycerol phenylbutyrate,Moderate,
glycopyrrolate,Moderate,
glycopyrronium topical,Moderate,
goserelin,Moderate,
guanabenz,Moderate,
guanadrel,Moderate,
guanethidine,Moderate,
guanfacine,Moderate,
halazepam,Moderate,
halothane,Moderate,
heroin,Moderate,
histamine phosphate,Moderate,
histrelin,Moderate,
house dust mite allergen extract,Moderate,
hydralazine,Moderate,
hydrochlorothiazide,Moderate,
hydrocodone,Moderate,
hydroflumethiazide,Moderate,
hydromorphone,Moderate,
hydroxyzine,Moderate,
hyoscyamine,Moderate,
idarubicin,Moderate,
ifosfamide,Moderate,
imatinib,Moderate,
imipramine,Moderate,
incobotulinumtoxinA,Moderate,
indacaterol,Moderate,
indapamide,Moderate,
inotuzumab ozogamicin,Moderate,
ipratropium,Moderate,
irbesartan,Moderate,
isoetharine,Moderate,
isoflurane,Moderate,
isoflurophate ophthalmic,Moderate,
isoniazid,Moderate,
isoproterenol,Moderate,
isosorbide,Moderate,
isosorbide dinitrate,Moderate,
isosorbide mononitrate,Moderate,
isoxsuprine,Moderate,
isradipine,Moderate,
itraconazole,Moderate,
kava,Moderate,
ketamine,Moderate,
ketoconazole,Moderate,
labetalol,Moderate,
lamotrigine,Moderate,
landiolol,Moderate,
lapatinib,Moderate,
lemborexant,Moderate,
leniolisib,Moderate,
lenvatinib,Moderate,
letibotulinumtoxinA,Moderate,
leuprolide,Moderate,
levalbuterol,Moderate,
levamlodipine,Moderate,
levetiracetam,Moderate,
levocetirizine,Moderate,
levodopa,Moderate,
levofloxacin,Moderate,
levorphanol,Moderate,
levothyroxine,Moderate,
levothyroxine / liothyronine,Moderate,
lidocaine,Moderate,
lindane topical,Moderate,
liothyronine,Moderate,
liotrix,Moderate,
lisdexamfetamine,Moderate,
lisinopril,Moderate,
lithium,Moderate,
lofexidine,Moderate,
lomefloxacin,Moderate,
lonapegsomatropin,Moderate,
loperamide,Moderate,
lorazepam,Moderate,
lorlatinib,Moderate,
losartan,Moderate,
loxapine,Moderate,
lumateperone,Moderate,
lurasidone,Moderate,
ma huang,Moderate,
macimorelin,Moderate,
maprotiline,Moderate,
mavacamten,Moderate,
mazindol,Moderate,
mecamylamine,Moderate,
meclizine,Moderate,
mefloquine,Moderate,
melatonin,Moderate,
mepenzolate,Moderate,
mephentermine,Moderate,
mephenytoin,Moderate,
mephobarbital,Moderate,
meprobamate,Moderate,
metaproterenol,Moderate,
metaxalone,Moderate,
methdilazine,Moderate,
methocarbamol,Moderate,
methohexital,Moderate,
methotrimeprazine,Moderate,
methscopolamine,Moderate,
methsuximide,Moderate,
methyclothiazide,Moderate,
methylphenidate,Moderate,
metoclopramide,Moderate,
metolazone,Moderate,
metoprolol,Moderate,
metronidazole,Moderate,
metyrosine,Moderate,
mibefradil,Moderate,
miconazole,Moderate,
midazolam,Moderate,
midodrine,Moderate,
midostaurin,Moderate,
minoxidil,Moderate,
mirabegron,Moderate,
mitotane,Moderate,
mixed grass pollens allergen extract,Moderate,
modafinil,Moderate,
moexipril,Moderate,
molindone,Moderate,
morphine,Moderate,
morphine liposomal,Moderate,
nabilone,Moderate,
nadolol,Moderate,
nalbuphine,Moderate,
naphazoline nasal,Moderate,
naphazoline ophthalmic,Moderate,
nebivolol,Moderate,
nelfinavir,Moderate,
nicardipine,Moderate,
nicotine,Moderate,
nifedipine,Moderate,
nilutamide,Moderate,
nimodipine,Moderate,
nisoldipine,Moderate,
nitroglycerin,Moderate,
nitroprusside,Moderate,
norfloxacin,Moderate,
nortriptyline,Moderate,
ofloxacin,Moderate,
olanzapine,Moderate,
oliceridine,Moderate,
olmesartan,Moderate,
olodaterol,Moderate,
olopatadine nasal,Moderate,
onabotulinumtoxinA,Moderate,
opicapone,Moderate,
opium,Moderate,
oritavancin,Moderate,
orphenadrine,Moderate,
osilodrostat,Moderate,
oxaliplatin,Moderate,
oxazepam,Moderate,
oxcarbazepine,Moderate,
oxybutynin,Moderate,
oxycodone,Moderate,
oxymorphone,Moderate,
oxytocin,Moderate,
ozanimod,Moderate,
paliperidone,Moderate,
paraldehyde,Moderate,
paramethadione,Moderate,
pazopanib,Moderate,
peanut allergen powder,Moderate,
penbutolol,Moderate,
pentamidine,Moderate,
pentazocine,Moderate,
pentobarbital,Moderate,
perampanel,Moderate,
perflutren,Moderate,
pergolide,Moderate,
perindopril,Moderate,
perphenazine,Moderate,
phenacemide,Moderate,
phendimetrazine,Moderate,
phenindamine,Moderate,
phenobarbital,Moderate,
phenoxybenzamine,Moderate,
phensuximide,Moderate,
phentermine,Moderate,
phentolamine,Moderate,
phenylpropanolamine,Moderate,
phenytoin,Moderate,
physostigmine,Moderate,
physostigmine ophthalmic,Moderate,
pilocarpine ophthalmic,Moderate,
pimavanserin,Moderate,
pindolol,Moderate,
pirbuterol,Moderate,
pirtobrutinib,Moderate,
pitolisant,Moderate,
polyethylene glycol 3350 with electrolytes,Moderate,
polythiazide,Moderate,
prabotulinumtoxinA,Moderate,
pralsetinib,Moderate,
pramipexole,Moderate,
prazosin,Moderate,
pregabalin,Moderate,
primaquine,Moderate,
primidone,Moderate,
probucol,Moderate,
prochlorperazine,Moderate,
procyclidine,Moderate,
promazine,Moderate,
promethazine,Moderate,
propafenone,Moderate,
propantheline,Moderate,
propiomazine,Moderate,
propofol,Moderate,
propranolol,Moderate,
protriptyline,Moderate,
pseudoephedrine,Moderate,
pyrilamine,Moderate,
quazepam,Moderate,
quetiapine,Moderate,
quinapril,Moderate,
quinidine,Moderate,
quinine,Moderate,
racepinephrine,Moderate,
ragweed pollen allergen extract,Moderate,
ramelteon,Moderate,
ramipril,Moderate,
ranolazine,Moderate,
rauwolfia serpentina,Moderate,
relugolix,Moderate,
remifentanil,Moderate,
remimazolam,Moderate,
reserpine,Moderate,
revefenacin,Moderate,
rilpivirine,Moderate,
rimabotulinumtoxinB,Moderate,
risperidone,Moderate,
ritlecitinib,Moderate,
ritodrine,Moderate,
ritonavir,Moderate,
rivastigmine,Moderate,
rolapitant,Moderate,
romidepsin,Moderate,
ropinirole,Moderate,
rotigotine,Moderate,
rucaparib,Moderate,
rufinamide,Moderate,
salmeterol,Moderate,
scopolamine,Moderate,
sebetralstat,Moderate,
secobarbital,Moderate,
sevoflurane,Moderate,
silodosin,Moderate,
sofpironium topical,Moderate,
solifenacin,Moderate,
somapacitan,Moderate,
somatrem,Moderate,
somatrogon,Moderate,
somatropin,Moderate,
sorafenib,Moderate,
sparsentan,Moderate,
spironolactone,Moderate,
stiripentol,Moderate,
sufentanil,Moderate,
sunitinib,Moderate,
suvorexant,Moderate,
tacrine,Moderate,
tacrolimus,Moderate,
tamoxifen,Moderate,
tamsulosin,Moderate,
tasimelteon,Moderate,
tebentafusp,Moderate,
tedizolid,Moderate,
telavancin,Moderate,
telithromycin,Moderate,
telmisartan,Moderate,
temazepam,Moderate,
terazosin,Moderate,
terbinafine,Moderate,
terbutaline,Moderate,
terfenadine,Moderate,
tetrabenazine,Moderate,
tetrahydrozoline nasal,Moderate,
tetrahydrozoline ophthalmic,Moderate,
thalidomide,Moderate,
thiethylperazine,Moderate,
thiopental,Moderate,
thiothixene,Moderate,
thyroid desiccated,Moderate,
